team,season,player_name,jersey_number,height,weight,college,player_id
CLE,1999,Abdul-Karim al-Jabbar,27,71.0,205.0,,00-0000003
MIA,1999,Abdul-Karim al-Jabbar,33,71.0,205.0,,00-0000003
TB,1999,Rabih Abdullah,27,73.0,227.0,,00-0000007
CLE,1999,Rahim Abdullah,55,77.0,233.0,,00-0000008
TB,1999,Donnie Abraham,21,70.0,190.0,,00-0000017
DET,1999,Kevin Abrams,24,68.0,170.0,,00-0000025
NO,1999,Tom Ackerman,69,75.0,296.0,,00-0000032
DAL,1999,Flozell Adams,76,79.0,335.0,,00-0000045
SEA,1999,Sam Adams,98,75.0,300.0,,00-0000065
DAL,1999,Vashone Adams,24,70.0,201.0,,00-0000072
STL,1999,Ray Agnew,99,75.0,285.0,,00-0000097
GB,1999,Louie Aguiar,10,74.0,220.0,,00-0000098
TB,1999,Chidi Ahanotu,72,74.0,283.0,,00-0000100
DAL,1999,Troy Aikman,8,76.0,220.0,,00-0000104
PHI,1999,David Akers,2,70.0,180.0,,00-0000108
DAL,1999,Chris Akins,29,71.0,195.0,,00-0000112
BUF,1999,Ethan Albright,76,77.0,278.0,,00-0000121
DET,1999,Allen Aldridge,55,73.0,254.0,,00-0000129
NO,1999,Ink Aleaga,54,73.0,251.0,,00-0000134
CAR,1999,Brent Alexander,46,71.0,196.0,,00-0000136
KC,1999,Derrick Alexander,82,74.0,210.0,,00-0000145
CLE,1999,Derrick L. Alexander,94,76.0,286.0,,00-0000146
WAS,1999,Stephen Alexander,80,76.0,246.0,,00-0000166
NYG,1999,Brian Alford,80,73.0,190.0,,00-0000172
OAK,1999,Eric Allen,21,70.0,185.0,,00-0000204
CHI,1999,James Allen,20,70.0,215.0,,00-0000210
DAL,1999,Larry Allen,73,75.0,326.0,,00-0000217
STL,1999,Taje Allen,20,70.0,185.0,,00-0000231
NE,1999,Terry Allen,22,71.0,208.0,,00-0000232
BUF,1999,Victor Allotey,66,75.0,325.0,,00-0000240
CHI,1999,John Allred,84,76.0,249.0,,00-0000242
TB,1999,Mike Alstott,40,73.0,248.0,,00-0000251
NO,1999,Ashley Ambrose,43,70.0,185.0,,00-0000261
KC,1999,Kimble Anders,38,71.0,225.0,,00-0000279
NE,1999,Jason Andersen,67,78.0,295.0,,00-0000281
ATL,1999,Morten Andersen,5,74.0,222.0,,00-0000282
MIN,1999,Gary Anderson,1,71.0,170.0,,00-0000313
ATL,1999,Jamal Anderson,32,71.0,235.0,,00-0000316
CHI,1999,Ken Anderson,70,75.0,310.0,,00-0000325
NYJ,1999,Richie Anderson,20,74.0,230.0,,00-0000339
CIN,1999,Willie Anderson,71,77.0,340.0,,00-0000352
GB,1999,Joe Andruzzi,70,75.0,310.0,,00-0000374
TB,1999,Reidel Anthony,85,71.0,180.0,,00-0000387
